cas_r	R-0,0,0,0-1,0,0,0-1,0,0,0-0,0,0,0-0-6,yK,7/14/14/14/14/14/13,gK/bK,13/14/14/14/14/14/3,rR,3,rK,2,rR,3	182100
cas_b	B-0,0,0,0-0,1,0,0-0,1,0,0-0,0,0,0-0-6,yK,7/14/14/bR,13/14/14/13,gK/bK,13/14/14/bR,13/14/14/7,rK,6	182100
cas_y	Y-0,0,0,0-0,0,1,0-0,0,1,0-0,0,0,0-0-3,yR,2,yK,3,yR,3/14/14/14/14/14/13,gK/bK,13/14/14/14/14/14/7,rK,6	182100
cas_g	G-0,0,0,0-0,0,0,1-0,0,0,1-0,0,0,0-0-6,yK,7/14/14/13,gR/14/14/13,gK/bK,13/14/14/13,gR/14/14/7,rK,6	182100
pro_r	R-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0-6,yK,7/14/14/5,bN,8/6,rP,7/14/13,gK/bK,13/14/14/14/14/14/7,rK,6	58695
pro_b	B-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0-6,yK,7/14/14/14/14/14/10,rN,2,gK/bK,8,bP,4/14/14/14/14/14/7,rK,6	45695
pro_y	Y-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0-6,yK,7/14/14/14/14/14/13,gK/bK,13/14/6,yP,7/7,gN,6/14/14/7,rK,6	53565
pro_g	G-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0-6,yK,7/14/14/14/14/14/3,rN,9,gK/bK,3,gP,9/14/14/14/14/14/7,rK,6	62195
ep_r	G-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0-{'enPassant':('h3','','','')}-6,yK,7/14/14/14/14/14/13,gK/bK,13/14/14/7,rP,gP,5/14/14/7,rK,6	5950
ep_b	R-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0-{'enPassant':('','c8','','')}-6,yK,7/14/14/14/14/14/3,bP,9,gK/bK,2,rP,10/14/14/14/14/14/7,rK,6	6100
ep_y	B-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0-{'enPassant':('','','g12','')}-6,yK,7/14/14/5,bP,yP,7/14/14/13,gK/bK,13/14/14/14/14/14/7,rK,6	5950
ep_g	Y-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0-{'enPassant':('','','','l8')}-6,yK,7/14/14/14/14/10,yP,3/10,gP,2,gK/bK,13/14/14/14/14/14/7,rK,6	5950
kingcap	R-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0-6,yK,7/14/14/14/14/14/12,rQ,gK/bK,13/14/14/14/14/7,bR,6/7,rK,6	529
stale	G-0,0,0,0-0,0,0,0-0,0,0,0-0,0,0,0-0-14/6,yR,7/4,yP,1,yK,3,yP,3/gB,3,bP,yP,3,yP,gP,3/3,bP,4,rR,gR,2,gP,1/10,rP,gB,2/14/6,bB,4,gK,2/2,bR,11/bK,2,bQ,1,rP,rK,7/bN,3,bB,2,yB,1,rP,4/7,rP,6/6,yR,7/14	4400675
